level,pcode,name,center_lat,center_lon
adm4,MMR001007006,Bi Lu,24.88550336,96.31625471
adm4,MMR001007007,In Gyin Kone,24.82028616,96.39520902
adm4,MMR001007008,Nyaung Kone,24.83789004,96.41282004
adm4,MMR001007009,Pin He,24.86376468,96.28233239
adm4,MMR001007010,Inn Kone,24.90605056,96.37726207
adm4,MMR001007011,Let Pan Tan,24.86117771,96.43589789
adm4,MMR001007012,Ah Lel Taw,24.90615513,96.45152899
adm4,MMR001007013,Lel Mee,24.9376582,96.42019706
adm4,MMR001007014,Nam Saw Law,24.91651928,96.63816594
adm4,MMR001007015,Taung Inn,24.85949338,96.50752609
adm4,MMR001007016,Sa Nwin Kone,24.95657182,96.18124895
adm4,MMR001007017,Ma Mon Kaing,25.03062207,96.19654645
adm4,MMR001007018,Kone Ma Na,25.12687686,96.24435008
adm4,MMR001007019,Mong Poke,25.18647727,96.10815882
adm4,MMR001007020,Lwe Mun,25.2413293,96.22947678
adm4,MMR001007021,Nyaung Pin,25.33064755,96.28548556
adm4,MMR001007022,Long Sant,25.22340828,96.46988558
adm4,MMR001007023,He Pu,25.14567059,96.45669634
adm4,MMR001007024,Chaung Wa,25.30370712,96.53478109
adm4,MMR001007025,Pang Lar,25.36256593,96.51488433
adm4,MMR001007026,Ma Pyin,25.36564263,96.43420759
adm4,MMR001007027,He Long,24.7940454,96.30636509
adm4,MMR001007028,Ywar Thit Kone,24.7319712,96.55222805
adm4,MMR001007029,Nam Poke,24.67710879,96.48046014
adm4,MMR001007030,Myo Thit Ka Lay,24.94413225,96.47475893
adm4,MMR001007031,Ta Kwin,24.97295428,96.51754669
adm4,MMR001007032,Kyar Gyi Kwin,24.97567603,96.71721887
adm4,MMR001007033,Ywar Thit Gyi,25.03105084,96.45511509
adm4,MMR001007034,Zaw Ti Kone,25.08874346,96.51822589
adm4,MMR001007035,Khun Hnit Maing Kone Tan,25.00044633,96.42062872
adm4,MMR001007036,Inn Lay,24.96638865,96.46227171
adm4,MMR001007037,Nam Yin,25.00893819,96.56351717
adm4,MMR001007038,Shwe Let Pan,25.03690985,96.33210146
adm4,MMR001007701,Urban,24.7672348,96.3751033
adm4,MMR001007702,Urban,24.99270808,96.52905629
adm4,MMR001007703,Urban,25.09310443,96.28793789
adm4,MMR001007704,Urban,25.00277476,96.35719929
adm4,MMR001007705,Urban,24.87857756,96.43731808
adm4,MMR001007903,,25.16232867,96.35271429
adm4,MMR001008003,Pin Hkar,25.25416473,96.99098986
adm4,MMR001008004,Kyar Inn,25.22753041,96.93484424
adm4,MMR001008005,Kyun Pin Thar,25.33161753,96.91200139
adm4,MMR001008006,Yae Shin,25.34757831,96.9348953
adm4,MMR001008007,Loi Li Yang,25.41543871,96.90910572
