SR_Pcode,SR_Name_Eng,District/SAZ_Pcode,District/SAZ_Name_Eng,Tsp_Pcode,Township_Name_Eng,VT_Pcode,Village_Tract_Name_Eng,Village_Pcode,Village_Name_Eng,Village_Name_MMR,Commonly_Used_Local_Vlg_Name_Eng,Commonly_Used_Local_Vlg_Name_Mya,Longitude,Latitude,Source,Start_Date,Modified_End_Date,Notification,Notification_modified,GAD_Village_Status,Field_Village_Status,MIMU_Village_Mapping_Status,Change_Type,Previous_Village_Name_Eng,Remark
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024028,Boe Yaung,150916,Sar Hpyu Su,စာဖြူစု,,,95.43672943,16.32151985,GAD,,28-Jan-11,,200/23-309/U-1,Inactive,N/A,Inactive,Delete,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024058,Byu Sa Khan,151058,Byu Sa Khan,ဗြူးစခန်း,,,95.45719147,16.10355949,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024058,Byu Sa Khan,151061,Kyon Kaw,ကျုံကော်,,,95.4452635,16.0725096,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024058,Byu Sa Khan,151060,Ma Ngeit Ka Lay,မငဲ့ကလေး,,,95.44457245,16.09589005,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024058,Byu Sa Khan,151059,Sin Ku,ဆင်ကူး,,,95.4277687,16.0646813,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,164116,Byu Ya Gon,ဗြူးရဂုံ,,,,,GAD,28-Jan-11,28-Feb-14,200/23-309/U-1,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,155508,Chaung Bye Gyi,ချောင်းဗြဲကြီး,,,95.20986938,15.89043045,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,155505,Hlay Lone Kwe,လှေလုံးကွဲ,,,95.14765167,15.86283016,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,164119,Kan Seik,ကံဆိပ်,,,95.22409058,15.89653015,GAD,28-Jan-11,28-Feb-14,200/23-309/U-1,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,164121,Ma Pway Tan,မပွေးတန်း,,,95.2382812,15.94502698,GAD,28-Jan-11,28-Feb-14,200/23-309/U-1,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,164123,Mee Laung Kwin,မီးလောင်ကွင်း,,,95.22923279,15.91726971,GAD,28-Jan-11,28-Feb-14,200/23-309/U-1,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,155507,Pauk Sein Kya,ပေါက်ဆိန်ကျ,,,95.1992824,15.8721468,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,164117,Yway Chaung Gyi,ရွေးချောင်းကြီး,Gway Chaung Gyi,ဂွေးချောင်းကြီး,95.22122955,15.93939972,GAD,28-Jan-11,28-Feb-14,200/23-309/U-1,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024074,Chaung Bye Gyi,155504,Zee Hpyu,ဇီးဖြူ,,,95.18591309,15.87479019,GAD,,28-Feb-14,,No. 194/2014,Active,N/A,Active,Change of VT,,Previous VT was Kyein Chaung Gyi (MMR017024068)
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024066,Chaung Gyi Wa,151112,Ku Lar Su,ကုလားစု,,,95.41758728,16.14649963,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024066,Chaung Gyi Wa,151113,Kyein Chaung,ကျိန်ချောင်း,,,95.4415838,16.1376083,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024066,Chaung Gyi Wa,151114,Ta Yoke Su,တရုပ်စု,,,95.4256401,16.1305624,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024066,Chaung Gyi Wa,151111,Thea Chaung,သဲချောင်း,,,95.4259647,16.1574804,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024066,Chaung Gyi Wa,151115,Ywar Thit,ရွာသစ်,,,95.4399858,16.1508716,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024034,Chaung Hpyar (Nyi Naung),151139,Chaung Hpyar,ချောင်းဖျား,,,95.3584037,16.2919831,GAD,,,,,Active,N/A,Active,,,
MMR017,Ayeyarwady,MMR017D006,Pyapon,MMR017024,Bogale,MMR017024034,Chaung Hpyar (Nyi Naung),151140,Htone Bu Kwe Hpyar,ထုံးဘူးကွဲဖျား,,,95.3690128,16.2937747,GAD,,,,,Active,N/A,Active,,,
